,คำนำหน้าชื่อ,ชื่อ,สกุล,พรรค,"เริ่มทำงานสภาสมัยนี้ในฐานะสมาชิกพรรค
 (YYYY-MM-DD)"
id,title,name,lastname,party,established_date
1,พลเอก,ประยุทธ์,จันทร์โอชา,,2562-07-10
2,พลเอก,ประวิตร,วงษ์สุวรรณ,พลังประชารัฐ,2562-07-10
3,ดร.,สมคิด,จาตุศรีพิทักษ์,พลังประชารัฐ,2562-07-10
4,ดร.,วิษณุ,เครืองาม,,2562-07-10
5,พลเอก,ชัยชาญ,ช้างมงคล,,2562-07-10
6,ดร.,อุตตม,สาวนายน,พลังประชารัฐ,2562-07-10
7,นาย,ดอน,ปรมัตถ์วินัย,,2562-07-10
8,นาย,พิพัฒน์,รัชกิจประการ,ภูมิใจไทย,2562-07-10
9,นาย,จุติ,ไกรฤกษ์,ประชาธิปัตย์,2562-03-24
10,ดร.,สุวิทย์,เมษินทรีย์,พลังประชารัฐ,2562-07-10
11,นาย,เฉลิมชัย,ศรีอ่อน,ประชาธิปัตย์,2562-07-10
12,นางสาว,มนัญญา,ไทยเศรษฐ์,ภูมิใจไทย,2562-07-10
13,นาย,สนธิรัตน์,สนธิจิรวงศ์,พลังประชารัฐ,2562-07-10
14,นาย,วีรศักดิ์,หวังศุภกิจโกศล,ภูมิใจไทย,2562-07-10
15,พลเอก,อนุพงษ์,เผ่าจินดา,,2562-07-10
16,นาย,นิพนธ์,บุญญามณี,ประชาธิปัตย์,2562-07-10
17,ดร.,ทรงศักดิ์,ทองศรี,ภูมิใจไทย,2562-07-10
18,หม่อมราชวงศ์,จัตุมงคล,โสณกุล,รวมพลังประชาชาติไทย,2562-07-10
19,นาย,อิทธิพล,คุณปลื้ม,พลังประชารัฐ,2562-07-10
20,ดร. คุณหญิง,กัลยา,โสภณพนิช,ประชาธิปัตย์,2562-07-10
21,ดร.,กนกวรรณ,วิลาวัลย์,ภูมิใจไทย,2562-03-24
22,นาย,กนก,ลิ้มตระกูล,เพื่อไทย,2562-03-24
23,ศาสตราจารย์ ดร.,กนก,วงษ์ตระหง่าน,ประชาธิปัตย์,2562-03-24
24,นาย,กมลศักดิ์,ลีวาเมาะ,ประชาชาติ,2562-03-24
25,นาย,กรณ์,จาติกวณิช,ประชาธิปัตย์,2562-03-24
26,นาง,กรณิศ,งามสุคนธ์รัตนา,พลังประชารัฐ,2562-03-24
27,นาย,กรวีร์,ปริศนานันทกุล,ภูมิใจไทย,2562-03-24
28,นาย,กรุงศรีวิไล,สุทินเผือก,พลังประชารัฐ,2562-03-24
29,นาย,กฤติเดช,สันติวชิระกุล,ภูมิใจไทย,2562-03-24
30,นาย,กฤษฎา,ตันเทอดทิตย์,เพื่อไทย,2562-03-24
31,นาย,กฤษณ์,แก้วอยู่,พลังประชารัฐ,2562-03-24
32,นางสาว,กวินนาถ,ตาคีย์,พลังท้องถิ่นไท,2562-03-24
33,นาย,กษิดิ์เดช,ชุติมันต์,พลังประชารัฐ,2562-03-24
34,นาย,กัญจน์พงศ์,จงสุทธนามณี,ก้าวไกล,2562-03-24
35,นาง,กันตวรรณ,ตันเถียร,ประชาธิปัตย์,2562-03-24
36,นางสาว,กัลยา,รุ่งวิจิตรชัย,พลังประชารัฐ,2562-03-24
37,ดร.,พิสิฐ,ลี้อาธรรม,ประชาธิปัตย์,2562-03-24
38,นางสาว,กานต์กนิษฐ์,แห้วสันตติ,พลังประชารัฐ,2562-03-24
39,นาย,การุณ,โหสกุล,เพื่อไทย,2562-03-24
40,นาย,กิตติ,สมทรัพย์,เพื่อไทย,2562-03-24
41,นาย,กิตติกร,โล่ห์สุนทร,เพื่อไทย,2562-03-24
42,นาย,กิตติชัย,เรืองสวัสดิ์,ภูมิใจไทย,2562-03-24
43,นางสาว,กิตติ์ธัญญา,วาจาดี,เพื่อไทย,2562-03-24
44,นายแพทย์,กิตติศักดิ์,คณาสวัสดิ์,เพื่อไทย,2562-03-24
45,นางสาว,กุลธิดา,รุ่งเรืองเกียรติ,อนาคตใหม่,2562-03-24
46,นางสาว,กุลวลี,นพอมรบดี,พลังประชารัฐ,2562-03-24
47,นาย,กูเฮง,ยาวอหะซัน,ประชาชาติ,2562-03-24
48,นาย,เกรียงศักดิ์,ฝ้ายสีงาม,เพื่อไทย,2562-03-24
49,นาย,เกษม,ศุภรานนท์,เศรษฐกิจไทย,2562-03-24
50,นาย,เกษม,อุประ,เพื่อไทย,2562-03-24
51,นาย,เกษมสันต์,มีทิพย์,ก้าวไกล,2562-03-24
52,นาย,เกียรติ,สิทธีอมร,ประชาธิปัตย์,2562-03-24
53,นาย,เกียรติ,เหลืองขจรวิทย์,ภูมิใจไทย,2562-03-24
54,นาย,เกื้อกูล,ด่านชัยวิจิตร,ภูมิใจไทย,2562-03-24
