ID,ชื่อเรียกมติแบบง่ายๆ,เรียงตาม ID ไว้ลิงก์กับชีท [T] PeopleVote,ใส่ 0 เพื่อซ่อน,ชื่อวาระการลงมติ,ประเภทการประชุม,วันที่โหวต (ใส่ให้ถูก Format),ผ่าน/ไม่ผ่าน,คำอธิบายการประชุมลงมติ,ชื่อเอกสาร 1,ลิงค์ไปที่เอกสาร 1,ชื่อเอกสาร 2,ลิงค์ไปที่เอกสาร 2,meeting_id,Reference
id,title,VoteLog_ID,is_active,legal_title,meeting,vote_date,passed,description_th,document.0.title,document.0.link,document.1.title,document.1.link,,reference
1,ร่าง พ.ร.บ. เหรียญรัตนาภรณ์ รัชกาลที่ 10 (วาระ 3),votelog.__1,1,พระราชบัญญัติเหรียญรัตนาภรณ์ รัชกาลที่ 10 พ.ศ. 2562,ประชุมสภาผู้แทนราษฎร,2562-08-08,ผ่าน,เหรียญรัตนาภรณ์ เป็นเหรียญราชอิสริยาภรณ์ ที่เป็นเครื่องหมายในส่วนพระองค์ และมีการสร้างเหรียญรัตนาภรณ์ขึ้นพระราชทานเป็นประเพณีมาทุกรัชกาล จึงจำเป็นต้องตราพระราชบัญญัตินี้สำหรับรัชกาลปัจจุบัน เพื่อพระราชทานเป็นเครื่องหมายในพระมหากรุณาธิคุณส่วนพระองค์ตามโบราณราชประเพณี,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20190813114010A4.pdf,พระราชบัญญัติ,https://lis.parliament.go.th/attach/mod03/mod03_20200413084009.pdf,4149,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4149
2,ร่าง พ.ร.บ. เหรียญราชรุจิ รัชกาลที่ 10 (วาระ 3),votelog.__2,1,พระราชบัญญัติเหรียญราชรุจิ รัชกาลที่ 10 พ.ศ. 2562,ประชุมสภาผู้แทนราษฎร,2562-08-08,ผ่าน,เหรียญราชรุจิ เป็นเหรียญราชอิสริยาภรณ์ที่เป็นเครื่องหมายในส่วนพระองค์ เป็นเหรียญราชอิสริยาภรณ์ ที่เป็นเครื่องหมายในส่วนพระองค์ และมีการสร้างเหรียญรัตนาภรณ์ขึ้นพระราชทานเป็นประเพณีมาทุกรัชกาล จึงจำเป็นต้องตราพระราชบัญญัตินี้สำหรับรัชกาลปัจจุบัน เพื่อพระราชทานเป็นเครื่องหมายในพระมหากรุณาธิคุณส่วนพระองค์ตามโบราณราชประเพณี,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20201002145051A6.pdf,พระราชบัญญัติ,https://lis.parliament.go.th/attach/mod03/mod03_20200413083831.pdf,4149,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4149
3,ตั้ง กมธ. ผู้มีความหลากหลายทางเพศ,votelog.__3,1,พิจารณาร่างข้อบังคับการประชุมสภาผู้แทนราษฎร,ประชุมสภาผู้แทนราษฎร,2562-08-22,ไม่ผ่าน,การประชุมของสภาผู้แทนราษฎรเพื่อพิจารณาร่างข้อบังคับการประชุม ในประเด็นเรื่องคณะกรรมาธิการในสภาผู้แทนราษฎร ซึ่งในร่างที่เสนอมามี 35 คณะ แต่ ส.ส.บัญชีรายชื่อ พรรคอนาคตใหม่ เสนอขอเพิ่มเป็น 36 คณะ โดยเสนอให้มีคณะกรรมาธิการผู้มีความหลากหลายทางเพศ แยกออกมาจากต่างหากจากคณะกรรมาธิการเด็ก เยาวชน สตรี ผู้สูงอายุ ผู้พิการ กลุ่มชาติพันธุ์ และผู้มีความหลากหลายทางเพศ ซึ่งที่ประชุมไม่เห็นชอบ ส่งผลให้กรรมาธิการสามัญ จะมีจำนวน 35 คณะตามร่างเดิม,ใบประมวลผลการลงมติ,http://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20190823113634A11.pdf,-,-,4154,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4154
4,ขยายสัญญาสัมปทานทางด่วนและรถไฟฟ้าบีทีเอส,votelog.__4,1,รายงานการพิจารณาศึกษาการขยายสัญญาสัมปทานทางด่วนและรถไฟฟ้า (บีทีเอส),ประชุมสภาผู้แทนราษฎร,2562-09-05,ผ่าน,ที่ประชุมสภาผู้แทนราษฎรมีมติเห็นชอบด้วยกับข้อเสนอตามรายงานของคณะกรรมาธิการวิสามัญ ที่เห็นควรให้ขยายสัมปทานทางด่วน เพื่อยุติข้อพิพาทระหว่างการทางพิเศษแห่งประเทศไทย (กทพ.) กับ บริษัท ทางด่วนและรถไฟฟ้าจำกัด (มหาชน) (BEM) และไม่ขยายสัมปทานการเดินรถไฟฟ้าสายสีเขียวของบีทีเอส ที่จะสิ้นสุดในปี 2572 ซึ่งเมื่อผ่านการลงมติจากสภาผู้แทนราษฎรแล้วก็จะเสนอให้คณะรัฐมนตรีเป็นผู้นำไปปฏิบัติต่อไป,ใบประมวลผลการลงมติ,http://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20191008153956A1.pdf,-,-,4156,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4156
5,ตั้ง กมธ. วิสามัญ พิจารณาผลกระทบโครงการอีอีซี,votelog.__5,1,ญัตติด่วน ขอให้สภาผู้แทนราษฎรตั้งคณะกรรมาธิการวิสามัญพิจารณาศึกษาและตรวจสอบผลกระทบจากการดำเนินโครงการเขตพัฒนาพิเศษภาคตะวันออก (EEC) การวางผังเมือง และการลงทุนโครงสร้างพื้นฐานที่เกี่ยวข้อง,ประชุมสภาผู้แทนราษฎร,2562-09-13,ไม่ผ่าน,Eastern Economic Corridor (EEC) หรือ โครงการระเบียงเศรษฐกิจพิเศษภาคตะวันออก เป็นหนึ่งในนโยบายหลักของรัฐบาล ซึ่งสานต่อมาจากแผนเศรษฐกิจเดิมที่ดำเนินมาตั้งแต่ยุค คสช. ภาพในฝันของการดำเนินโครงการแบบ EEC คือ การพัฒนาพื้นที่ทางเศรษฐกิจเพื่อดึงดูดนักลงทุนต่างชาติ ในสามจังหวัดภาคตะวันออก ได้แก่ ชลบุรี ระยอง และฉะเชิงเทรา ผลกระทบที่ชัดเจนที่สุด ของโครงการอีอีซี คือ การพุ่งขึ้นของราคาที่ดินและการค้าที่ดิน ทำให้เกษตรกรที่เคยเช่าที่ดินทำการเกษตรและการประมงมายาวนาน ต้องถูกยกเลิกสัญญาเช่าโดยทันทีเมื่อเจ้าของที่ดินขายที่ดินให้กับนักลงทุน และผลกระทบที่จะตามมาอย่างที่สอง คือ ผลกระทบต่อชุมชนและสิ่งแวดล้อม สมาชิกสภาผู้แทนราษฎรถึงสามพรรคการเมืองได้แก่ อนาคตใหม่ ประชาธิปัตย์ และพลังประชารัฐ เสนอให้ตั้งคณะกรรมาธิการ (กมธ.) วิสามัญตรวจสอบผลกระทบโครงการอีอีซี โดยใช้ชื่อและวัตถุประสงค์การทำงานต่างกันไป,ใบประมวลผลการลงมติ,http://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20190913143158A3.pdf,-,-,4158,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4158
6,ตั้ง กมธ. วิสามัญ ศึกษาแนวทางการควบคุมการใช้สารเคมีในภาคเกษตรกรรม,votelog.__6,1,ตั้งคณะกรรมาธิการวิสามัญพิจารณาศึกษาแนวทางการควบคุมการใช้สารเคมีในภาคเกษตรกรรม,ประชุมสภาผู้แทนราษฎร,2562-09-13,ผ่าน,จากประเด็นสารเคมี 3 ตัว ประกอบด้วย พาราควอต ไกลโฟเซต และคลอร์ไพริฟอส ถูกใช้ในภาคเกษตรกรรมและเป็นอันตรายต่อสุขภาพของคนไทยจำนวนมาก ส.ส.จากทุกพรรคการเมืองอภิปรายไปในทางเดียวกันว่าเห็นด้วยกับการยกเลิกสารเคมีดังกล่าว จากนั้นที่ประชุมลงมติเป็นเอกฉันท์ให้ตั้งคณะกรรมาธิการวิสามัญพิจารณาศึกษาแนวทางการควบคุมการใช้สารเคมีในภาคเกษตรกรรม,ใบประมวลผลการลงมติ,http://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20190917112227A5.pdf,-,-,4158,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4158
7,อนุมัติ พ.ร.ก. โอนกำลังพลและงบประมาณฯ,votelog.__7,1,พิจารณาพระราชกำหนดโอนอัตรากำลังพลและงบประมาณบางส่วนของกองทัพบก กองทัพไทย กระทรวงกลาโหม ไปเป็นของหน่วยบัญชาการถวาย ความปลอดภัยรักษาพระองค์ ซึ่งเป็นส่วนราชการในพระองค์ พ.ศ. 2562 ซึ่ง คณะรัฐมนตรี เป็นผู้เสนอ,ประชุมสภาผู้แทนราษฎร,2562-10-19,ผ่าน,นายกรัฐมนตรี ลงนามออกกฎหมายเป็นพระราชกำหนด (พ.ร.ก.) ให้โอนอัตรากำลังพลและงบประมาณบางส่วนของกองทัพบก กองทัพไทย กระทรวงกลาโหม เฉพาะในส่วนที่เกี่ยวกับกรมทหารราบที่ 1 มหาดเล็กราชวัลลภรักษาพระองค์ และกรมทหารราบที่ 1 มหาดเล็กราชวัลลภรักษาพระองค์ ไปเป็นของหน่วยบัญชาการถวายความปลอดภัยรักษาพระองค์ ซึ่งเป็นส่วนราชการในพระองค์ เมื่อคณะรัฐมนตรีใช้อำนาจออกกฎหมายเป็นพระราชกำหนดจะต้องนำให้รัฐสภาพิจารณารับรองทันทีที่เปิดประชุมสภา ปัญหาสำคัญของการออกพระราชกำหนดครั้งนี้ คือ เงื่อนไขในการออกพระราชกำหนด ตามรัฐธรรมนูญ มาตรา 172 กำหนดว่า ต้องเป็นกรณีจำเป็นเร่งด่วนเท่านั้น ถ้าไม่มีเหตุเร่งด่วนคณะรัฐมนตรีควรเสนอกฎหมายเป็นร่างพระราชบัญญัติตามกระบวนการปกติ แต่คณะรัฐมนตรีโดยพล.อ.ประยุทธ์ ไม่สามารถอธิบายถึงความจำเป็นเร่งด่วนได้ 17 ตุลาคม 2562 เมื่อครม.นำพ.ร.ก.ฉบับนี้เข้าสู่การพิจารณาของสภาผู้แทนราษฎร ปิยบุตร แสงกนกกุล อภิปรายถึงความไม่ถูกต้องตามเงื่อนไขของ มาตรา 172,ใบประมวลผลการลงมติ,http://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20191021111117A1.pdf,พระราชกำหนดโอนอัตรากำลังพลและงบประมาณฯ,http://www.ratchakitcha.soc.go.th/DATA/PDF/2562/A/103/T_0001.PDF,4162,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4162
8,ร่าง พ.ร.บ. งบประมาณฯ 2563 (วาระ 1),votelog.__8,1,พิจารณาร่างพระราชบัญญัติงบประมาณรายจ่ายประจำปีงบประมาณพ.ศ. 2563,ประชุมสภาผู้แทนราษฎร,2562-10-19,ผ่าน,"ทางปฏิบัติในการบริหารราชการแผ่นดิน เมื่อรัฐบาลต้องการงบประมาณจะเสนอเป็น ร่างพ.ร.บ.งบประมาณรายจ่ายประจำปี ทุกปี เพื่อให้รัฐสภาพิจารณาอนุมัติการใช้จ่ายงบประมาณ การพิจารณางบประมาณปี 2563 เป็นที่จับตาเพราะรัฐบาลมีเสียงสนับสนุนแบบ ""ปริ่มน้ำ"" และมี ส.ส. ที่ถูกตัดสิทธิอยู่ระหว่างการเลือกตั้งใหม่อีกจำนวนหนึ่งทำให้เสถียรภาพของรัฐบาลสั่นคลอน หากมี ส.ส. ฝ่ายรัฐบาลไม่ลงมติสนับสนุนอาจทำให้ร่างพ.ร.บ.งบประมาณที่รัฐบาลเสนอนั้นไม่ผ่านการพิจารณาของสภาผู้แทนราษฎร ซึ่งอาจเป็นอุปสรรคกับการพัฒนางานของระบบราชการ และหากเป็นเช่นนั้นตามธรรมเนียมทางการเมืองรัฐบาลต้องรับผิดชอบโดยการลาออกหรือยุบสภาเพื่อเลือกตั้งใหม่ 17 ตุลาคม 2562 สภาผู้แทนราษฎรนัดพิจารณาร่างพ.ร.บ.งบประมาณรายจ่ายประจำปี โดยมีการอภิปรายอย่างกว้างขวางถึงสามวันเต็ม และในคืนวันที่ 19 ตุลาคม 2562 สภาผู้แทนราษฎรก็ลงมติ เห็นชอบ 251 เสียง งดออกเสียง 234 เสียง ให้ร่างพ.ร.บ.งบประมาณรายจ่ายประจำปี ผ่านวาระแรก เข้าสู่การตั้งคณะกรรมาธิการพิจารณารายละเอียดในวาระที่สองต่อไป ซึ่งกำหนดระยะเวลาพิจารณา 30 วัน ก่อนจะนำกลับเข้ามาอภิปรายในที่ประชุมของสภาผู้แทนราษฎรอีกครั้งหนึ่ง",ใบประมวลผลการลงมติ,http://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20191021111117A3.pdf,ร่างพระราชบัญญัติงบประมาณรายจ่ายประจำปีงบประมาณ พ.ศ. 2563,http://bbstore.bb.go.th/cms/1570699357_1282.pdf,4162,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4162
9,อนุมัติ พ.ร.ก. สถาบันครอบครัว,votelog.__9,1,พระราชกำหนดแก้ไขเพิ่มเติมพระราชบัญญัติส่งเสริมการพัฒนาและคุ้มครองสถาบันครอบครัว พ.ศ. 2562 พ.ศ. 2562,ประชุมสภาผู้แทนราษฎร,2562-11-20,ผ่าน,แม้จะมีการตรา พ.ร.บ.ส่งเสริมการพัฒนาและคุ้มครองสถาบันครอบครัว พ.ศ. 2562 ที่ได้มีการกำหนดมาตรการในการลดการกระทำความรุนแรงในครอบครัว เพื่อให้ผู้กระทำได้มีโอกาสกลับตัวและยับยั้งการกระทำผิดซ้ำ รวมทั้งปรับปรุงกลไก บทบาท อำนาจและหน้าที่ของเจ้าหน้าที่ผู้มีส่วนเกี่ยวข้องและปรับปรุงกระบวนการยุติธรรม ซึ่งการดำเนินการดังกล่าวต้องอาศับความพร้อมในด้านความรู้ ความสามารถ ความเชี่ยวชาญและประสบการณ์ของผู้เกี่ยวข้อง ทำให้พ.ร.บ. ที่มีผลบังคับใช้ในวันที่ 20 สิงหาคม 2562 นั้น ต้องขยายผลบังคับใช้ออกไปก่อน และให้นำพ.ร.บ.สถาบันครอบครับ พ.ศ. 2550 ออกมาใช้ก่อนเป็นการชั่วคราว ,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20191120191531A3.pdf,,,4167,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4167
